input,target
I SEE WILL .,I will see.
M-A-N-D-Y H-A-R-V-E-Y HERSELF BECOME DEAF AGE EIGHTEEN .,Mandy Harvey became deaf at the age of eighteen.
ASL USE WHERE? UNITED-STATES CANADA .,ASL is used in the United States and Canada.
I FEEL TIRED .,I feel tired.
K-A-R-E-N HER HUSBAND NICE .,Karen's husband is nice.
HELLO . SHE FRIEND YOUR SHE ?,Hello. Is she a friend of yours?
MY PAPER I FINISH .,"As for my paper, I finished it."
TIME TWO PM VOLLEYBALL PRACTICE .,Volleyball practice is at 2:00 pm.
"I WALK HOUSE ARRIVE , I KNOCK .","I walked to the house, and I knocked when I arrived."
EVERY-MONDAY NIGHT I EAT HAMBURGER .,Every Monday night I eat hamburgers.
IMPORTANT HAVE T-T-Y .,It's wroth having a TTY.
"TELEPHONE NUMBER , I-GIVE-YOU FINISH , YOU TO TELEPHONE .","I'll give you the telephone number, then you call."
SHEEP TASTE GOOD ?,Does sheep taste good?
I WANT HOME WANT .,I want to go home!
"FATHER , I DON'T KNOW WHAT HE SENT M-I-N-G .","Father, I don't know what he sent Ming."
"SHE EAT-CONTINUALLY , WRONG BECOME-FAT .","She kept eating carelessly, and without realizing it, she became fat."
"YESTERDAY NIGHT , HE TO-TELEPHONE TIME ELEVEN-FIFTEEN . I FED-UP .",Last night he called at 11:15. I'm fed up.
"COFFEE , TASTE BAD .",Coffee tastes bad.
YOU WANT CLARIFY YOUR GOALS HOW? FIRST FORM VISION .,"If you want to clarify your goals, you need to form a vision first."
I WRONG-REPEATEDLY . WHY? I NOT STUDY .,I'm wrong again and again because I don't study.
"MY DECISION , TOMORROW I-INFORM-EACH-OF-YOU .",I'll let each of you know my decision tomorrow.
CALIFORNIA WOW NICE .,"California, it's very nice."
TOUCH-FINISH OTHER COUNTRY YOU .,Have you been outside of the country before?
"YESTERDAY , TEACHERS ,  STUDENTS THEY SHOW-UP , THEY DIDN'T .","The teachers showed up for class yesterday, but the students did not."
WHO O-L-G-A LOVE WHO ?,Who does Olga love?
"YES , IT EXPENSIVE .","Yes, it is expensive."
YOU LIVE WITH YOUR MOM-DAD ?,Do you live with your parents?
JULY 4TH MY BROTHER EAT WHAT? SIX HAMBURGERS .,My brother ate 6 hamburgers on July 4th.
INSIDE HAVE NEW T-V .,There is a new TV inside.
WHERE YOUR CAR WHERE ?,Where is your car?
SHE LEARN+AM SHE ?,Is she a student?
YOU LIKE SIGN MUSIC ?,Do you like to sign music?
MAN CAME-UP-TO-I .,The man came up to me.
"V-E-G , K-E-V-I-N BUY YESTERDAY WHAT ?","As for vegetables, what did Kevin buy yesterday?"
HER PAPER I-COPY-SHE CAN I ?,Can I copy from her paper?
YOU SLEEPY ?,Are you sleepy?
LITTLE DEAF GIRL NAME A-L-I-C-E C-O-G-S-W-E-L-L MET NEIGHBOR HIS NAME T-H-O-M-A-S G-A-L-L-A-U-D-E-T .,"As a young deaf girl, Alice Cogswell met her neighbor, and his name was Thomas Gallaudet."
YOUR DRINK STRAW YOU WANT ?,Would you like a straw in your drink?
COMPUTER CRASH !,My computer crashed!
"YOUR ADDRESS , YOU-TELL-I FINISH ?",Did you tell me your address?
PACK BAGS FINISH ?,Are your bags packed?
TODAY SEVERAL PEOPLE SICK .,Today several people are sick.
YOU LIVE HOUSE APT WHICH ?,Do you live in a house or apartment?
WHAT COUNTRY YOU MOST WANT VISIT ?,Which country do you most want to visit?
MISSIONARY SHE .,She is a missionary.
WILL CAMPING I .,I'm going to go camping.
MY DAD THAT MAN .,My dad is that man.
CAT IT UNDERSTAND SIGN IT ?,Does the cat understand signs?
CORN ON THE COB MY BROTHER J-A-K-E LOVES .,My brother Jake loves corn on the cob.
"M-R-S. S-M-I-T-H , SHE MY AUNT .",Mrs. Smith isn't my aunt.
L-I-S-A DEAF .,Lisa is deaf.
THANKSGIVING WHEN ? THURSDAY NOVEMBER TWENTY .,"Thanksgiving is Thursday, November twentieth."
"A-S-L CLASS , YOU PAST TAKE ?",Have you ever taken an ASL class?
SOME CAN WORK BUT NOT HAVE SKILL .,Some can work but don't have the skills.
"YOUR SUPERVISOR , WHO ?",Who is your supervisor?
"SCIENCE CLASS , I WANT GIVE-UP .","In science class, I want to give-up."
T-V SHUTDOWN .,The television is broken.
JULY TH HOLIDAY NAME ?,What is the name of the holiday on July 4th?
DEAF NOT SPEAK I .,I'm not deaf. I'm hearing.
"TOMORROW , SCHOOL GO-TO WANT YOU ?",Do you want to go to school tomorrow?
I SHORT I .,I am short.
"YOUR CAR BREAK-DOWN , YOU LATE WILL YOU .","If your car breaks down, you will be late."
MY BIRTHDAY N-O-V TWO .,My birthday is November 2nd.
FRIEND WILL SHE-MEET-I TIME EIGHT .,My friend will meet me at eight o'clock.
HOW T-V BREAK ?,How did the TV break?
R-O-B-E-R-T-O FORCE C-A-R-M-E-N GO ?,Did Roberto force Carmen to go?
"YOU , CLOSE-DOOR .",Close the door.
TROUBLE MY DOG ALWAYS .,My dog is always in trouble.
I EXCITED WHY? NEW BIKE I BOUGHT .,I'm excited I bought a new bike.
I RUN-TO RIVER JUMP-INTO .,I ran to the river and jumped into it.
SERVE LOUSY .,The service is lousy.
MY UNCLE WENT WHERE? ARKANSAS .,My uncle went to Arkansas.
BEFORE SATURDAY MY FRIEND MARRY .,Last Saturday my friend got married.
HE FASCINATED HER .,He fascinated her.
YOUR GRANDPARENTS STILL LIVING ?,Are your grandparents still living?
"INTERESTING WHAT? SHE SINGER TV PROGRAM ""AMERICA'S G-O-T T-A-L-E-N-T"" .","Interestingly enough, she was a singer on the television show ""America's Got Talent."""
YOUR FAVORITE RESTAURANT WHAT ?,What is your favorite restaurant?
"SOME BOSS ACCEPT BAD WORK , WHY ?",Why do some bosses accept bad work?
"IF YOU RETIRE , ALL-DAY WHAT-TO-DO ?","If you retire, what will you do all day?"
SHY I-SAME  .,She and I are both shy.
"SIGN VERY-SLOW , PLEASE .","Sign very slowly, please."
SALMON I TRUE-BIZ DON'T-LIKE .,I really don't like salmon.
"DENTIST APPOINTMENT , YOU POSTPONE ?",Would you postpone a dentist appointment?
"BOTH CHILDREN , ASK I SIMULTANEOUSLY .",Both of the children asked me at the same time.
"IF CANDY EAT++ TOO-MUCH , WILL VOMIT YOU ?","If you eat too much candy, will you vomit?"
"C-F I GET FINISH , I-INFORM-ALL-OF-YOU .","If I get the captioned film, I'll let you all know."
BREAKFAST TIME EIGHT .,Breakfast is at eight o'clock.
EVERY FRIDAY NIGHT WHAT? PIZZA MOVIE .,Pizza and movie night is every Friday.
RECENT MYSELF BALD I  .,I just recently became bald.
"AUNT SICK-CONTINUALLY , WRONG LOST JOB .",My aunt was always sick and then she lost her job.
"MY FRIEND , G-U-N UNEXPECTEDLY SHOOT-AT .","My friend was holding a gun, and it unexpectedly shot."
I HAVE THREE SKIRTS TWO DRESSES AND FIVE PANTS .,"I have three skirts, two dresses, and five pants."
SANTA LOVES HOT COCOA COOKIES .,Santa loves hot cocoa and cookies.
"DOCTOR APPOINTMENT , YOU HAVE ?",Do you have a doctor's appointment?
HE UPSET WHY? HE LOST .,He is upset because he lost.
I THINK FINISH GO-AWAY .,I think he already left.
WHEN UNCLE LOSE SUITCASE WHEN ?,When did my uncle lose his suitcase?
TWENTY-FOUR CATS E-R-I-C HAS .,Eric has twenty-four cats.
YOU DEAF HEAR WHICH ?,Are you deaf or hearing?
MARRIAGE YOU ?,Are you married?
"I DECREASE FIFTEEN POUNDS . HOW? EAT NONE BREAKFAST , NONE LUNCH .",I lost 15 pounds by not eating breakfast and not eating lunch. 
YES . I STUDENT I . YOU ?,"Yes, I am a student. Are you?"
MY BIRTHDAY C-U-P-C-A-K-E-S I WANT NOT CAKE .,"I want cupcakes for my birthday, not a cake."
WOMAN HERE .,The woman is here.
SHE LOVE HE .,She loves him.
EGGS MY BEST FRIEND S-U-S-A-N LIKES EAT .,My best friend Susan likes to eat eggs.
MY CHILD AFRAID-REPEATEDLY .,My child is afraid repeatedly.
MYSELF COOK HAMBURGER YESTERDAY .,I cooked the hamburger yesterday.
GOOD-MORNING ! HOW YOU ?,Good morning! How are you?
FRIEND I GO-THERE VISIT .,I went to visit my friend.
THAT MAN HE BRIGHT-BLUE TIE BEARD HE I LIKE  .,I like that man with the bright blue tie and beard.
NAME YOU ?,What is your name?
GORILLA EAT GRASS ?,Do gorillas eat grass?
ONLY TIME COME VISIT .,Come visit me sometime.
DISGUSTED I .,I am disgusted.
PARENTS PULL .,His parents pulled him by the small.
TIME FOR ORAL-THERMOMETER .,It is time to take your temperature.
PANTS I WILL WEAR I .,I will wear pants.
"WORSE , HERE U-S HAVE POOR PEOPLE .",What's worse it that there are poor people here in the United States.
HE ACT MANY MOVIES TV PROGRAMS BUT MOST FAMOUS ROLE WHAT? T-H-E I-N-C-R-E-D-I-B-L-E H-U-L-K .,"He's been in many movies and TV shows, but is most famous for playing The Incredible Hulk."
"BOOK , ENJOY I-READ .",I enjoy reading books.
I WASH CAR NOT-YET FINISH .,I'm not finished washing the car.
RECENT WEEKEND DO YOU ?,What did you do last weekend?
J-O-H-N PAPER PICK UP .,"John, pick up the paper."
SNAKE COLOR WHAT? SILVER .,The snake is silver.
"I WALK , SEE RABBIT MANY .",I was walking and saw many rabbits.
HOT .,It's hot.
WOMAN FORGET PURSE NOT .,It is not the case that the woman forgot the purse.
YOU MARRY ?,Are you married?
TV SENTENCE PLEASE I .,I enjoy TV with captions.
BLOOD LOSE MUCH YOU .,You lost a lot of blood.
DRESS DIRTY HAVE ?,Do you have any dirty clothes?
CAR HAVE ? HOW-MANY DOORS ?,"Do you have a car? If so, how many doors?"
P-R-E-T-Z-E-L-S CHOCOLATE DIPPED I LOVE EAT .,I love eating pretzels dipped in chocolate.
YOUR DAD DEAF ?,Is your dad deaf?
"YES , SHE FINISH .","Yes, she did."
"SUPPOSE YOU RESTAURANT , YOU ORDER BIRD , MEAT , FISH , WHICH ?","If you were at a restaurant, would you order chicken, beef, or fish?"
YOU SEARCH WORK YOU ?,Are you looking for work?
SHE UGLY .,She is ugly.
"SIGN LANGUAGE , MY MOTHER DON'T-KNOW .",My mother doesn't know sign language.
TWO-MONTHS PAST AUNT VISIT .,I visited my aunt two months ago.
TRAIN IT GO SOUTH IT  .,The train goes south.
TOMORROW MY HOUSE FRIENDS COME SUPPER .,My friends are coming to my house for supper tomorrow.
YOUR GRANDMA HOW OLD ?,How old is your grandma?
STOP REST NOW .,Let's stop and rest now.
FOUR-OF-WE GO-WITH WILL .,We will go together.
NOW MOVIE START .,The movie is starting now.
BROTHER YOU HOW-MANY ?,How many brothers do you have?
M-I-K-E HIS SHIRT WHAT COLOR ? YELLOW .,Mike's shirt is yellow.
NEXT-WEEK PLAN YOU ?,What are your plans for next week?
IT R-E-F HAVE CREAM .,There's cream in the refrigerator.
"SHOES , YOU HAVE , HOW-MANY ?",How many pairs of shoes do you have?
CLASS I TAKE-UP WHY? I WANT BECOME INTERPRETER .,I am taking the class because I want to be an interpreter.
"SPIDER , YOU AFRAID YOU ?",Are you afraid of spiders?
YOU PREFER PLAY VOLLEYBALL BASKETBALL WHICH ?,Do you prefer to play volleyball or basketball?
MY GRANDFATHER WENT WHERE? NEW HAMPSHIRE .,My grandfather went to New Hampshire.
CAT ESCAPE WHICH ?,Which cat escaped?
LONG-AGO I BUY PENCIL COST FOUR-CENT .,I used to buy pencils for four cents.
IF YOU RICH YOUR HOME INSIDE YOU WANT IMPROVE++ WHAT ?,"If you had unlimited funds, what would you like to renovate?"
YEAR NINETEEN-SIXTY-FIVE ASL RECOGNIZED TRUE LANGUAGE .,American Sign Language was recognized as a true language in 1965.
BALTIMORE NEAR OCEAN ?,Is Baltimore near an ocean?
SHE HAPPY WHY? SUMMER VACATION .,She is happy because it is summer vacation.
MY CAT WEIGH HOW-MUCH? EIGHTEEN POUNDS .,My cat weighs eighteen pounds.
"IF I-GIVE-YOU MY TELEPHONE NUMBER , YOU TO-TELEPHONE ? PROMISE ?","If I give you my telephone number, will you call? You promise?"
"YOUR BOOK , TABLE  ON .",Your books are on the table.
WITH FRIEND ?,Were you with a friend?
HALLOWEEN WHEN ? FRIDAY OCTOBER THIRTY-ONE .,"Halloween is Friday, October thirty-first."
BEFORE MONTH YOU-BORROW MY HAMMER .,Last month you borrowed my hammer.
WALLS LIGHT-BLUE HORIZONTAL WHITE STRIPES .,The room is light blue with horizontal white stripes.
CAR HAVE ?,Do you have a car?
"MARRY , CHILDREN WILL YOU ?",Will you get married and have children?
MY FAVORITE KIND POPCORN WHICH? K-E-T-T-L-E C-O-R-N .,My favorite kind of popcorn is kettle corn.
"I-TELL-YOU FINISH , GO-TO-IT ! WASH-DISH !",I've told you go and wash the dishes!
BUSY YOU .,You're so busy.
I EARLY ALWAYS .,I'm always early.
YEAR TWENTY-FOURTEEN D-E-R-R-I-C-K C-O-L-E-M-A-N HE FIRST DEAF FOOTBALL PLAYER INVOLVED SUPER BOWL .,Derrick Coleman was the first deaf football player to participate in the Super Bowl in 2014.
YOUR NEPHEW HAVE SIGN BOOK ?,Does your nephew have a sign language book?
"NOW LEFT SIX-MONTH , MOVE-AWAY WILL I .",Now there's only six months left then I'll be moving away.
TELL I ABOUT YOUR TEACHER .,Tell me about your teacher.
NAP TAKE WANT I .,I want to take a nap.
CLASS FINISH TIME THREE-FIFTEEN .,Class is finished at 3:15.
SIT SUNRAY PLEASE .,I enjoy sitting in the sun.
WEST VIRGINIA M-A-R-S-H-A-L-L DIED .,Marshall died in West Virginia.
NOT LIKE YOU-TAKE-ADVANTAGE-SHE .,I don't like your taking advantage of her.
YOU LIKE ICE CREAM ?,Do you like ice cream?
I CURIOUS YOU LIVE NEAR M-A-L-L BANK WHICH ?,"I'm curious, do you live near the mall or the bank?"
GOSSIP WE NEED NOT  .,I don't think we should gossip.
LATE CLASS ALWAYS YOU ?,Are you always late to class?
TODAY MY BIRTHDAY .,Today is my birthday.
FOOTBALL PLAYER HE HURT-REPEATEDLY .,The football player keeps getting hurt.
SHE MY GRANDMOTHER .,She is my grandmother.
"WORK SIX YEAR , LAID-OFF .",I worked for six years and was laid off.
I-MEET-YOU FIVE-MINUTE I .,I'll meet you in five minutes.
"IF YOU NOT SHOW-UP , YOU MISS-OUT YOU .","If you don't show up, you'll miss out."
HI . HOW YOU ?,"Hello, how are you?"
J-A-C-K LOSE PAPER .,Jack didn't lose the paper.
YOU LIKE APPLES ORANGES WHICH ?,Which do you like apples or oranges?
SHE TEACH+AM .,She is a teacher.
THINK TEST EASY QMW ?,Do you think the test was easy?
THIS BUILDING HAVE ELEVATOR ?,Does this building have an elevator?
I-HELP-SHE .,I help her.
KNOW NEW-YORK CHICAGO FROM-NEW-YORK-TO-CHICAGO TWO-HOUR .,You know you can fly from New York to Chicago in two hours.
YOU SNOW-BOARD BEFORE YOU ?,Have you ever gone snowboarding?
EVERY NIGHT DESSERT ICE CREAM I EAT .,I eat ice cream for dessert every night.
"HE SEE WATERFALL , WALK , FASCINATED , LOST .","He saw a waterfall, walked near it, and he was so fascinated that he became lost."
GIRL FUNNY .,The girl is funny.
PLEASE SIT .,Please be seated.
"I CALL-OUT , P-E-T-E ?","I called out, ""Pete!"""
I WANT COFFEE BLACK PLEASE .,"I want a black coffee, please."
BOOK WHERE ?,Where is the book?
THEY HEAR .,They are hearing.
NEXT-WEEK CLASS START .,Classes begin next week.
"KNOW H-S THERE , NEAR LOCALE .","You know the high school, it's near there."
I ? NO-WAY . SELF GO-TO-IT !,Wait a minute! I'm tired of this. Do it yourself!
"YES , I CLEAN-UP MYSELF .","Yes, I cleaned it up myself."
NAME WHAT ?,What's your name?
GRANDMOTHER'S HOUSE COUSINS PLAY-AROUND I ENJOY .,I enjoy playing with my cousins at my grandmother's house.
I LIKE EAT .,I like to eat.
MAGAZINE NEWSPAPER WANT ?,Would you like a magazine or newspaper?
CHEAT YOU TEST WHY ?,Why did you cheat on the test?
VOCATIONAL SCHOOL YOU WANT GO-TO YOU ?,Do you want to go to vocational school?
TABLE IT BLUE NOT  .,That table is not blue.
LIONS I LIKE .,I like lions.
GOOD MORNING .,Good morning.
YOU DIDN'T-KNOW ?,You didn't know that?
SIT PLEASE . YOU ALLERGY MEDICATION ?,Please have a seat. Do you have an allergy to medication?
"COMPUTER , WOMAN HAVE .",That woman over there has a computer.
SUNDAY NEW YORK CLOUDY FORTY-FIVE DEGREES .,Sunday in New York will be forty-four degrees and cloudy.
"LATER WAKE-UP , SWIM , FINISH , PLAY THROW-FRISBEE .","Later we woke up and went swimming. Then, we played frisbee."
HE TALK-CONTINUALLY THREE-HOUR .,He's talked continually for three hours! 
TWO-THEY MARRY .,They got married.
"HEAD , YOU CAN DRAW YOU ?",Can you draw a picture of a head?
TODAY YOU DO-DO ?,What did you do today?
MEAT I NOT EAT I .,I don't eat meat.
YESTERDAY MY SISTER BUY TELEPHONE NEW .,Yesterday my sister bought a new telephone.
BEDROOMS BATHROOMS YOU HAVE HOW MANY ?,How many bedrooms and bathrooms do you have?
"I BUY GLASS NEW , WRONG DAMAGE .",I had just bought a new glass when it was damaged.
MY FAVORITE BEDTIME T-R-E-A-T WHAT? HOT COCOA .,Hot cocoa is my favorite bedtime treat.
"TWO-YEAR , I GO-TO MEETING C-I-N-N WILL .","In two years, I will go to the meeting in Cincinnati."
MYSELF LUNCH TIME TWELVE .,I eat lunch at 12:00.
YOU NEVER EAT CANDY YOU ?,You never eat candy!?
HE-HELP-SHE .,He helps her.
"NEWSPAPER , READ , HIT REMEMBER APPOINTMENT .",I was reading the newspaper when out of the blue I remembered my appointment.
"SUPPOSE SHE SEE I , I HAVE LEAVE .",I will have to leave if she sees me.
MY FATHER HEAR NOISE BASEMENT . I HEAR-NONE .,My father heard a noise in the basement. I didn't hear anything.
"I COOK DINNER , CLEAN-UP FINISH , EAT .","I cook dinner, clean up, then eat."
SATURDAY WANT GO-OUT DINNER WITH I ?,Would you like to go to dinner with me on Saturday?
OH-I-SEE I KNOW WHO .,"Oh I see, I know who."
I NERVOUS I .,I am nervous.
SEW OFTEN I .,I sew often.
S-N-A-C-K I LIKE EAT WHAT? MICROWAVE POPCORN .,I like to eat microwave popcorn for a snack.
MUST AGAIN .,You have to do it over.
OUR COUNTRY LARGE .,Our country is large.
"CANDY , VERY-SOUR ?",Is the candy very sour?
I WANT HONOR .,I wanted to show respect.
I HATE AIRPLANES .,I hate airplanes.
TIGERS C-H-R-I-S-T-Y LIKES .,Christy likes tigers.
"YOU DRIVE-THERE , I GO-WITH WANT I .","If you're driving there, I'd like to go with you."
MY BROTHER AGE THIRTY .,My brother is 30 years old.
SHE-GIVE-HE BOOK .,She gave him the book.
"I WAIT , ASL PRACTICE MYSELF .",I'll wait and practice ASL by myself.
TIME TEN AM GYMNASTICS CLASS .,The gymnastics class is at 10:00 am.
YESTERDAY P-H-I-L MARRIED .,Yesterday Phil got married.
TEN SHORTS I HAVE .,I have ten shorts.
FIVE TIMES SIX EQUAL WHAT ?,What is five times six equal to?
GRASS STAY WHY? MUD THERE .,"Stay on the grass, there's mud over there!"
"YOUR HAMBURGER , YOU LIKE CHEESE ? ONIONS ? TOMATO ? KETCHUP ? MAYO ? MUSTARD ? PICKLES ?","Do you like cheese, onions, tomato, ketchup, mayo, mustard, or pickles on your hamburger?"
YOU UNDERSTAND LESSON YOU ?,Do you understand the lesson?
I LIVE S-A-C-R-A-M-E-N-T-O ., I live in Sacramento.
FAST TICKET COST HOW-MANY ?,How much does a speeding ticket cost?
"DIAPER , YOU CHANGE BEFORE ?",Do you change diapers before they get too full?
THIEF POLICE CAUGHT WHERE? HIDING IN HIS CAR .,The police caught the thief hiding in his car.
HE WON ONE SILVER MEDAL ONE GOLD MEDAL DEAFLYMPICS .,He won a silver and gold medal in the Deaflympics.
TWO-YEARS-FROM-NOW GRADUATE I .,I graduate in two years.
HE WASH-DISH HE .,He washes dishes.
SHE AND SIX OTHER STUDENTS FIRST ENTER A-S-D .,She and six other deaf children were the first students to attend ASD.
WOMAN SHE REMEMBER YOUR NAME SHE .,The woman remembers your name.
I FEEL LOUSY .,I feel lousy.
WRONG I .,I'm wrong.
P-A-U-L TIRED .,Paul is tired.
HER DAUGHTER I LIKE .,I like her daughter.
"TEN-DOLLAR , DON'T-MIND LEND I ?",Would you mind lending me ten dollars?
MAN THERE TALL THIN .,That man is tall and thin.
DEAF YOU ?,Are you deaf?
I GO BATHROOM .,I am going to the bathroom.
"THREE BED-ROOM , TWO BATHROOM , FORMAL-ROOM , KITCHEN .","It has three bedrooms, two baths, a living room, and a kitchen."
"I LEAVE NOW , DON'T-MIND YOU ?",Do you mind if I leave?
PARTY TEN COOKIES LEFT I TOOK TWO .,"At the party there were ten cookies left, so I took two."
ALL-DAY GIRL MISCHIEVOUS-CONTINUALLY .,The girl was mischievous all day.
HE-ASK-HER STUDY SHE-HELP-HE PLEASE .,He asked her to please help him study.
YESTERDAY NIGHT DINNER DELICIOUS .,Last night's dinner was delicious.
SHE MEASURE+AM .,She is an engineer.
"GAME CANCEL , RAIN . I-TELL-ALL-OF-YOU FINISH ?",The game was cancelled because of rain. Did I tell all of you?
"BASEBALL , YOU LIKE WATCH ?",Do you like watching baseball?
YOU HEAR ?,Are you hearing?
TOILET WHERE ?,Where is the restroom?
YOUR DAUGHTER SHORT .,Your daughter is short.
I WASH CAR FINISH .,I washed the car.
MAYBE PREFER TWO-YEAR SCHOOL .,Maybe I would prefer a two-year school. 
I DON'T-LIKE F-R-A-N-K . WHY? HE LIE-REPEATEDLY .,I don't like Frank because he lies all the time.
HE COOK HE .,He cooks.
"TRUE FALSE TEST , YOU LIKE ?",Do you like true and false tests?
"THEY SAY FINGERSPELLING WATCH-CONTINUALLY , BORING , EYES TIRED .",They say that continually watching fingerspelling is boring and their eyes get tired.
"PAST WEDNESDAY , I SLEEP , HAPPEN? I WAKE-UP GO-TO WINDOW , CRAZY CAT CL-5:HORDE .","Last Wednesday, I was asleep when I was suddenly waken up. I went to the window and saw a horde of cats."
YOUR NEXT-CLASS WHAT ?,What class do you have next?
YOUR FRIEND HERE .,Your friend is here.
SOUP COSTS THREE DOLLARS FIFTY CENTS .,Soup costs $3.50.
WHAT-KIND FRUIT YOU LIKE ?,What kind of fruit do you like?
GIRL HAVE BOOK SHE .,The girl has the book.
TOMORROW MEETING INTERPRETER WE NEED  .,We need an interpreter for tomorrow's meeting.
MY FAVORITE AUTHOR WHO? DR S-E-U-S-S  .,My favorite author is Dr. Seuss.
YOU TALL YOU .,You are tall.
YOU HUNGRY ?,Are you hungry?
FISH MY COUSIN G-A-B-E LOVES .,My cousin Gabe loves fish.
I POSTPONE GO-TO DENTIST . WHY? I VERY-AFRAID .,I postpone going to the dentist because I'm terrified.
WASH-HANDS .,Wash your hands.
"SUPPOSE TRAFFIC BAD , MAYBE I LATE .","If traffic's bad, I might be late."
WOMAN SEE FINISH ?,Did you see the woman?
"MY AUNT , SHE TEACH+AM .",My aunt is a teacher.
"HE LIST ACCOMPLISHMENTS THREE N-C-A-A NATIONAL CHAMPIONSHIPS , .",He won three NCAA National Championships.
I-TELL-YOU REFUSE I .,I won't tell you.
J-A-C-K-I-E DEAF .,Jackie is deaf.
"YOUR COMPUTER SCIENCE COURSE , FASCINATING DULL WHICH ?",Is your computer science course fascinating or dull?
YOU PUSH SISTER .,You pushed your sister.
"I-WARN-HE FINISH , NOTHING I .",I didn't warn him.
WHAT PIE ?,What kind of pie?
"P-E-T-E-R , J-O-H-N LOOK-AT .",John looks at Peter.
I WANT TALK-TO MAN MYSELF .,I want to talk to the man myself.
PENNSYLVANIA RHODE ISLAND WHICH ?,Pennsylvania or Rhode Island?
EIGHT WATERS A-L-I DRANK .,Ali drank eight glasses of water.
I HEAR NONE YOU MARRY YOU .,I didn't hear you got married.
NOT TRUE FAT I .,I'm not really fat.
HE SMART HE .,He is smart.
"SIGN MEASLES , I DON'T UNDERSTAND .",I don't understand the sign measles.
TODAY NURSE HERE ?,Is the nurse here today?
"EVERY-THREE-MONTH I GET MONEY INCREASE NAME ""COST-O-F-LIVE"" .","Every three months I get a raise called ""cost of living""."
HE MALE GLASSES BEARD MUSTACHE WHO ?,"Who is the man over there with the glasses, beard, and a mustache?"
"SUPPOSE ROOM EMPTY , WHAT-TO-DO ?","If the room is empty, what should I do?"
EASTER I ATE WHAT? SALAD CORN ON THE COB HAM COOKIES .,"At Easter I ate ham, salad, corn on the cob and cookies."
EVERY SATURDAY SEE .,I see her every Saturday.
"YESTERDAY , DO-WHAT YOU ?",What did you do yesterday?
"IF MOTHER SHE-REMIND-HIM-REPEATEDLY , FATHER DETEST .","If mom keeps reminding him, dad hates it."
YOUR BIRTHDAY WHEN ?,When is your birthday?
"YOUR FIRST CAR , WHAT COLOR ?",What was the color of your first car?
YOUR BOYFRIEND NAME ?,What is your boyfriend's name?
K-I-M HATES I .,Kim hates me.
I HATE BASEBALL BATS .,I hate baseball bats.
YES DINNER EAT-FINISH .,"Yes, I already ate dinner."
SORRY MY SISTER FINISH I-LOAN-SHE CAR .,"Sorry, I already lent the car to my sister."
BOOK COST HOW-MANY ?,How much does the book cost?
YESTERDAY MY MICROWAVE BLEW UP .,My microwave blew up yesterday.
NONE NAME .,No names.
"TONIGHT , I VIDEO WATCH .",I am watching a video tonight.
SHE FINISH READ BOOK .,She read the book.
"IF YOU JOIN FOOTBALL TEAM , YOU HAVE TIME STUDY YOU ?","If you join the football team, will you have time to study?"
YESTERDAY MY NIECE BIRTHDAY . I-GIVE-SHE RING .,Yesterday was my niece's birthday. I gave her a ring.
"THERE STORE , I SEE NONE PEOPLE .",I saw no people at the store.
LETTER I TYPE ONE-MINUTE CAN I .,I can type a letter in a minute.
"YOUR DAD NAME , SPELL SLOW .",Spell your dad's name slowly.
THIRD WORLD COUNTRIES MANY PEOPLE HUNGRY .,Many people in third world countries experience hunger.
"UMBRELLA , TOMORROW SHE-GIVE-YOU WILL .",Tomorrow she will give you the umbrella!
"BACKPACKING , NOT DIFFICULT ?",Isn't backpacking difficult?
MY FATHER HIS CAR I PLAN ASK BORROW .,I plan to ask my dad to borrow his car.
"HEY , AWFUL , BASEBALL WORLD S-E-R-I-E-S , KNOW++ YOU ?","Hey, awful! The baseball World Series, do you know about it?"
TODAY RAIN YOU LEAVE YOU ?,"If it rains today, are you going to leave?"
GIRL PLAY VOLLEYBALL .,The girl plays volleyball.
WOW THIS WEEK I BUSY .,Wow! This week I am busy.
I-LOAN-YOU FIFTY-DOLLAR ., I loaned you fifty dollars.
MAN WHERE ?,Where is the man?
MY SISTER WHAT ? FAMOUS C-H-E-F .,My sister is a very famous chef.
"I REMEMBER I WANT GO-THERE VISIT FRIEND , MUST I DRIVE-THERE .",I remember that I wanted to go and visit a friend. I had to drive there.
THREE TIMES THREE EQUAL NINE .,3 x 3 = 9
ARRIVE EARLY TAKE-OVER PLACE .,We went early and got a place.
MOMENT WAIT CAN ?,Can you wait for just a minute?
FUTURE TWENTY MINUTE WE LEAVE . YOU PACK NOTHING !,In 20 minutes we're going to leave. You haven't packed a thing!
PICTURE SEND-I ATTACH .,Send your picture as an attachment.
YOU DEAF ?,Are you deaf?
WOMAN THERE WRITE BOOK .,"The woman over there, she is the one who wrote the book."
FOR YOU ? CHEAP .,"For you, it will be cheap."
LONG NO SEE .,Long time no see.
AIRPLANE BEFORE YOU ?,Have you ever been on an airplane before?
SHE GO-THERE EUROPE BUSINESS MONTHLY .,She goes to Europe on business every month.
"POPCORN , WANT BOWL ?",Would you like a bowl of popcorn?
MYSELF TIRED .,I am tired.
HIS SISTER LOSE BOX RED .,His sister lost the red box.
I FIND COAT ONE .,I found one coat.
REMEMBER ONE-DAY-PAST-NIGHT AWFUL WIND-BLOW ?,Do you remember that awful strong wind last night?
